Audio File,New Link,File Name
Človek a dva stromy I.,https://drive.google.com/file/d/1Sk8M0vDZcdNsH4BT38RRtB31_Rl4gZc-/preview,2020_12 DCD09cz Clovek a dva stromy - 1.mp3
Človek a dva stromy II.,https://drive.google.com/file/d/1ozkg68v6vCMMsLC7aqVG2S0-n_EynOSR/preview,2020_12 DCD09cz Clovek a dva stromy - 2.mp3
Zdroj viery,https://drive.google.com/file/d/1h4-5isQYhdyILc_TIJ_WF8hLG32cfyOW/preview,2020_12 DCD11cz Zdroj viry.mp3
Viera,https://drive.google.com/file/d/1f-W__Szhr9XVYAndIBUcHcNU7Bfb0YLW/preview,2020_12 DCD11cz Vira.mp3
Podplatenie svedomia,https://drive.google.com/file/d/1W4ZcXsoQDUZbNXEcZ63P49A0RlQpKCrn/preview,2020_12 DCD11cz Podplaceni svedomi.mp3
Zníženie Pána Ježiša,https://drive.google.com/file/d/1mNmr017xKwkJkLDZcnGV5yQJHpEnWEgM/preview,2020_12 DCD11cz Snizeni Pana Jezise.mp3
Dve prirodzenosti,https://drive.google.com/file/d/1YVu4RUl8f87gyWym3H56Buo6G3edhI0P/preview,2020_12 DCD11cz Dve prirozenosti.mp3
Konflikt medzi dvoma prirodzenosťami,https://drive.google.com/file/d/17QytDsUoPCQCKCyssLHXAN8Jnk-dZAhj/preview,2020_12 DCD11cz Konflikt mezi dvema prirozenostmi.mp3
Vtelenie,https://drive.google.com/file/d/1PR3-ZoM6v4N03K2km9ALHSWaOb864JPu/preview,2020_12 DCD09cz Ctyri hlavn� Kristovy kroky_1 - Vteleni.mp3
Ukrižovanie I.,https://drive.google.com/file/d/1vTob_CvUJdKc8TQ6G4Zlj1NZPfIOmsDN/preview,2020_12 DCD09cz Ctyri hlavn� Kristovy kroky_2 - Ukrizovani_1.mp3
Ukrižovanie II.,https://drive.google.com/file/d/1n-ZL92ykyUTRl3No2AUWCgUNJPwJipA2/preview,2020_12 DCD09cz Ctyri hlavn� Kristovy kroky_2 - Ukrizovani_2.mp3
Vzkriesenie,https://drive.google.com/file/d/1mW7m0-dRS52govmXFYZFI959woRhmR_p/preview,2020_12 DCD09cz Ctyri_hlavni_Kristovy_kroky_3_Vzkriseni.mp3
Nanebovstúpenie,https://drive.google.com/file/d/16LJjXlxwQ32Hylb0_GTRscYNKUZTgrSX/preview,2020_12 DCD09cz Ctyri_hlavni_Kristovy_kroky_4_Nanebevstoupeni.mp3
Hlinená nádoba,https://drive.google.com/file/d/1TBBry-yqdL5KvdBYkj7E8OIA1c2C-hhg/preview,2020_12 DCD09cz Hlinena nadoba.mp3
Znovuzrodenie I.,https://drive.google.com/file/d/1heTZ5y6aEkdCesOa3eSN7YgBJqJfiqeG/preview,2020_12 DCD09cz Znovuzrozeni_1.mp3
Znovuzrodenie II.,https://drive.google.com/file/d/1k7aTREsvHhgjXD_0Fc_hJ7jPpRi3Am9G/preview,2020_12 DCD09cz Znovuzrozeni_2.mp3
Kristovo vzkriesenie I.,https://drive.google.com/file/d/1i3BRAPIim1yoVcgTqzTIu3Mx2HchTJ-s/preview,2020_12 DCD11cz Kristovo vzk²íτení 1.mp3
Kristovo vzkriesenie II.,https://drive.google.com/file/d/1Q2DGwIaPr3fXXxgIC5_5tameYM2tZp6q/preview,2020_12 DCD11cz Kristovo vzk²íτení 2.mp3
Kristovo vzkriesenie III.,https://drive.google.com/file/d/1t4G_XjekpERYRcrVpOsjwMHIo40tRFXX/preview,2020_12 DCD11cz Kristovo vzk²íτení 3.mp3
Evanjelium Kráľovstva I.,https://drive.google.com/file/d/1daE-f83jHPd74ICXHRbIY0DAwvC_KEgx/preview,2020_12 DCD09cz Evangelium kralovstvi_1.mp3
Evanjelium Kráľovstva II.,https://drive.google.com/file/d/17yNCaTW9gHlXme1cQSuNokpQxm4fxfFj/preview,2020_12 DCD09cz Evangelium kralovstvi_2.mp3
Kristus ako zľutovnica,https://drive.google.com/file/d/1X7iTOXYu_AnCuNoGfB5aEd1PeepAbqfQ/preview,2020_12 DCD11cz Kristus jako Slitovnice.mp3
Naplnenie starého zákona I.,https://drive.google.com/file/d/1bA-rXY0gVYSjjrci4KCB5HkaPu4f2G-B/preview,2020_12 DCD09cz Naplneni Stareho zakona_1.mp3
Naplnenie starého zákona II.,https://drive.google.com/file/d/18Gje0HmkkCNOCzBhRULhFDqsRxhwa8MD/preview,2020_12 DCD09cz Naplneni Stareho zakona_2.mp3
Nevystihnuteľné Kristovo bohatstvo,https://drive.google.com/file/d/1nhqbbG3ygRFSPKXDgguQ1PnTQeTRIGSk/preview,2020_12 DCD11cz Nevysti�iteln� Kristovo.mp3
Ako sa vysporiadať so životom duše,https://drive.google.com/file/d/1AU5l6vNbvbA5mLo3lHUJoYT8e8vlpZa2/preview,2020_12 DCD09cz Jak se vyporadat s zivotem duse.mp3
Láska k bratom I.,https://drive.google.com/file/d/1zdY0ANcWi4kJ5-nGbg8yscx1tJT0lSSt/preview,2020_12 DCD09cz Laska k bratrum 1.mp3
Láska k bratom II.,https://drive.google.com/file/d/1gMoS4YxDwZQLyBuTWJew7WAK8RiFqLX8/preview,2020_12 DCD09cz Laska k bratrum 2.mp3
"Modlitba, ktorá nás vnáša do Boha",https://drive.google.com/file/d/1YgkuteezGomeFuv-b2yaykqWZj7zpv_1/preview,2020_12 DCD09cz Modlitba ktera nas vnasi do Boha.mp3
Oslobodenie zákonom Ducha,https://drive.google.com/file/d/1UBkcpnTQlmWc6Aa_6mqginvDndqf2BDp/preview,2020_12 DCD09cz Osvobozeni zakonem Ducha.mp3
Popol červenej jalovice,https://drive.google.com/file/d/15Jxbm4bTQdGxlt82bFbeJR538goeTfm4/preview,2020_12 DCD09cz Popel cervene jalovice.mp3
Reakcia na vytrhnutie,https://drive.google.com/file/d/1zis4smIfx-ug7xc_jeaaUfUsk6DZ_dyk/preview,2020_12 DCD09cz Reakce na vytrzeni.mp3
Svedkovia vzkriesenia Pána Ježiša,https://drive.google.com/file/d/1dqpP6XwOQauyAu-WBFKNDTK25kp68F2n/preview,2020_12 DCD09cz Svedkove vzkrisen� PJ.mp3
Svedomie,https://drive.google.com/file/d/1-eN23WPd4B8PUPwAZEpXyo0CI88bAWwT/preview,2020_12 DCD09cz Svedomi.mp3
Umierame aby sme žili,https://drive.google.com/file/d/1Z2SMM4kL3doZgbmCy3MFD-KM8NUQS7A3/preview,2020_12 DCD09cz Umirame abychom zili.mp3
"Už nie ja, ale Kristus",https://drive.google.com/file/d/10iT_h3TC9QI658YT0FwuZ4gtPufZcVUa/preview,2020_12 DCD09cz Uz ne ja ale Kristus.mp3
Víťazstvo nad omamným účinkom tohto veku,https://drive.google.com/file/d/1NrrvCh09rdVHifZ9Et3gtrcaqhDE_z2Z/preview,2020_12 DCD09cz Vitezstvi nad omamnym ucinkem tohoto veku.mp3
Záchrana duše,https://drive.google.com/file/d/11Y-QzCXqiKxBQ3jw_1lsYc5Vv5tblG4p/preview,2020_12 DCD09cz Zachrana duse.mp3
Skúška viery,https://drive.google.com/file/d/1aDjnjtC1NhnK-Z-B0nue2GIbuG9dzjj5/preview,2020_12 DCD09cz Zkouska viry.mp3
Duch života a Duch  moci,https://drive.google.com/file/d/1Nw62Yul5q-abCL18d9PKOe0ooP6WCI7C/preview,2020_12 DCD09cz Duch zivota a duch moci.mp3
Bohoľudský život Spasiteľa - človeka,https://drive.google.com/file/d/163kJn7e9TYue3osyz6kgRwO7h1LxzpX7/preview,2020_12 DCD09cz Boholidsky zivot Spasitele cloveka.mp3
Kristus - Vodca a Spasiteľ,https://drive.google.com/file/d/14mj7XkzuTzy5Z-bUaINMVuxhNvGrCIvL/preview,2020_12 DCD09cz Kristus - Vudce a Spasitel.mp3
Nanebovstúpenie Spasiteľa - človeka,https://drive.google.com/file/d/1VJWRAm4IaY9NzkR3sA9bMQ2NflRi7yEG/preview,2020_12 DCD09cz Nanebevstoupeni Spasitele cloveka.mp3
Pokračovanie Pána Ježiša v Knihe skutkov,https://drive.google.com/file/d/178Pjtn9VhSoiHrWNIRq40RHA9UxvpJoj/preview,2020_12 DCD09cz Pokracovani PJ v knize Skutku.mp3
Vzkriesenie Spasiteľa - človeka,https://drive.google.com/file/d/1ptNnLVkmN_395V0wZNmgP-Ibkz1gEBJ2/preview,2020_12 DCD09cz Vzkriseni Spasitele cloveka.mp3
Porátať sa s hriechmi I.,https://drive.google.com/file/d/1HGtOrGUjZ5FOm_5ZmTpU72gjrIvxuwLZ/preview,2020_12 DCD11cz Vypo_�dan� s h_�chy 1.mp3
Porátať sa s hriechmi II.,https://drive.google.com/file/d/11C-AQlJFEUQoWCG4P4Vy5hMWPBTBK3wW/preview,2020_12 DCD11cz Vypo_�dan� s h_�chy 2.mp3
Porátať sa s hriechmi III.,https://drive.google.com/file/d/1Qml-JM5mPN4ulag48q8Lbk1m70RUpoT2/preview,2020_12 DCD11cz Vypo_�dan� s h_�chy 3.mp3
Porátať sa so svetom,https://drive.google.com/file/d/18cGeklDx_-NowL5lwHPfE8z4pQaSEF03/preview,2020_12 DCD11cz Vypo²ádaní se sv╪tem.mp3
Biblia,https://drive.google.com/file/d/16p43eDrNRBDevmLAJLJwPA6CtOdg9PBS/preview,2020_12 DCD11cz Bible.mp3
Biblický kánon,https://drive.google.com/file/d/115avH9R3GUSakpntdzc_EEBaYBbLlQO_/preview,2020_12 DCD11cz Biblicky kanon.mp3
Boh existuje I.,https://drive.google.com/file/d/1MxFzMPnWC8hZmVW86AuN0mBBJie4-ybv/preview,2020_12 DCD11cz Buh existuje 1.mp3
Boh existuje II.,https://drive.google.com/file/d/19LleZFYAQ8UXkmPV-bvGzzbfgH38YyqO/preview,2020_12 DCD11cz Buh existuje 2.mp3
Kristus je Boh,https://drive.google.com/file/d/1Dq6nRHxyDBYMfdwWfdZHMDFHZSzaRpYn/preview,2020_12 DCD09cz Jezis Kristus je Buh.mp3
Kristus je Duch a život I.,https://drive.google.com/file/d/1BJbgmP14t5XgU47lGYnfelwzunMO_Vrc/preview,2020_12 DCD09cz Kristus je Duch a zivot_1.mp3
Kristus je Duch a život II.,https://drive.google.com/file/d/1I_eXA7Yt4afiFy2MHw_ap6TCa0QRp3I6/preview,2020_12 DCD09cz Kristus je Duch a zivot_2.mp3
Kristovo vykúpenie a spasenie,https://drive.google.com/file/d/1-3LvDpIAS4vh5FrSwU0Ug_YY_PmKUKOX/preview,2020_12 DCD09cz Kristovo vykoupeni.mp3
Zmysel ľudského života,https://drive.google.com/file/d/1nzlTqCinC3adQ23fTxDodr1_unesUjD1/preview,2020_12 DCD09cz Smysl lidskeho zivota.mp3
Jednoduchý obraz života v celej Biblii,https://drive.google.com/file/d/1OsJwgrA2pLt7zEDcso5Or2UaPT1XkmhS/preview,2020_12 DCD09cz Jednoduchy obraz zivota v cele bibli.mp3
Krst,https://drive.google.com/file/d/10EYByf15sHWj8XPO0FRSG94VQ7MAPJnF/preview,2020_12 DCD11cz Krest.mp3
Vysporiadanie sa s minulosťou I.,https://drive.google.com/file/d/1w9bxiIVWejq-iUwm00qbogvjmr97VE5y/preview,2020_12 DCD09cz Vyporadani se z minulosti.mp3
Vysporiadanie sa s minulosťou II.,https://drive.google.com/file/d/1EG3p3nckAniTsdhVRNMnbXlAW60YoIoN/preview,2020_12 DCD09cz Vyporadani se z minulosti 2.mp3
Vydať sa Pánovi I.,https://drive.google.com/file/d/1yTKO3b53HrY0LnwxEvelhpVNUnWoOOrj/preview,2020_12 DCD09cz Vydat se Panu_1.mp3
Vydať sa Pánovi II.,https://drive.google.com/file/d/13igF_svf9YlflrAQ487_NKw-KTVmngCP/preview,2020_12 DCD09cz Vydat se Panu_2.mp3
Vyznávanie ústami I.,https://drive.google.com/file/d/1Q1c0iIhPXNzWfHeOZV44Zr1cHB7-CyBN/preview,2020_12 DCD09cz Vyznavani usty_1.mp3
Vyznávanie ústami II.,https://drive.google.com/file/d/1_YDc7ZRSMnzlJbLRAJtv2ZtRnANd3SaI/preview,2020_12 DCD09cz Vyznavani usty_2.mp3
Oddelenie od sveta I.,https://drive.google.com/file/d/1hpfAvFzyKNerzwMJY6WOTQPcwIwpT4v2/preview,2020_12 DCD09cz Oddeleni od sveta_1.mp3
Oddelenie od sveta II.,https://drive.google.com/file/d/16mqETSX1gORBNR_Yp-G6fvtBMu1T5_w6/preview,2020_12 DCD09cz Oddeleni od sveta_2.mp3
Náš život I.,https://drive.google.com/file/d/1lYP-_f-EmTSYwRkSVHQWP9nTPFm_VtPa/preview,2020_12 DCD12cz Nas zivot 1.mp3
Náš život II.,https://drive.google.com/file/d/1r-BJuotbGEYKaeGWCwa3ZJfKLWNoZjJd/preview,2020_12 DCD12cz Nas zivot 2.mp3
Rok milosti - návrat k nášmu vlastníctvu I.,https://drive.google.com/file/d/1zfHYsBUhx2VYlqt6k3S5YaMV_IMo8ACs/preview,2020_12 DCD09cz Milostive leto_Navrat k nasemu vlastnictvi_1.mp3
Rok milosti - návrat k nášmu vlastníctvu II.,https://drive.google.com/file/d/1JqZFoffvghUlZ4gUVcWoF_kzkcWlambC/preview,2020_12 DCD09cz Milostive leto_Navrat k nasemu vlastnictvi_2.mp3
Požehnanie roka milosti,https://drive.google.com/file/d/1EJnEyvVjftLqLJseVlStBFOO-B0KZcnh/preview,2020_12 DCD09cz Pozehnani milostiveho leta.mp3
Vyhlásenie roka milosti,https://drive.google.com/file/d/1-jEFms0ytuNEEq0AEsOfacCg5tZBUTEj/preview,2020_12 DCD09cz Vyhlaseni milostiveho leta.mp3
Sloboda roka milosti,https://drive.google.com/file/d/120f_X0zt2X5SP925D5ZVq6ugfTwTvHEE/preview,2020_12 DCD09cz Svoboda milostiveho leta.mp3
Život roka milosti,https://drive.google.com/file/d/172TkjS7jQ5EUrnlwZqzREBrFe7L2v4H1/preview,2020_12 DCD09cz Zivot milostiveho leta.mp3
Skúsenosť veriacich s Kristovým vzkriesením,https://drive.google.com/file/d/1rU_QmwB7tdEmhZTW6kDqvWbxMPTnlLxW/preview,2020_12 DCD11cz Zku_enost.mp3
Skúsenosť života I.,https://drive.google.com/file/d/1rWy0ZClgS21z3JVPaPyI0lekK3mjNR72/preview,2020_12 DCD11cz Zkuτenost ºivota 1.mp3
Skúsenosť života II.,https://drive.google.com/file/d/185d-PAYZ-8UWMQb0_Ze9veBIC9r2lJPG/preview,2020_12 DCD11cz Zkuτenost ºivota 2.mp3
Skúsenosť života III.,https://drive.google.com/file/d/10RRBUM6O0_pQAMS-XN8d9VlI_eMk2FZ_/preview,2020_12 DCD11cz Zkuτenost ºivota 3.mp3
Skúsenosť života IV.,https://drive.google.com/file/d/1uX6T5Pnn4wooUWynfxsOXcaQ8p4b2-c0/preview,2020_12 DCD11cz Zkuτenost ºivota 4.mp3
Skúsenosť života V.,https://drive.google.com/file/d/1AjYdRmg9zUJd1_7W38lxpMlYzkhP_-Nc/preview,2020_12 DCD11cz Zkuτenost ºivota 5.mp3
Skúsenosť života VI.,https://drive.google.com/file/d/1GuyCDkidTi_8D-f6Mm6zCm-fZfJf52ZJ/preview,2020_12 DCD11cz Zkuτenost ºivota 6.mp3
Boh je ochotný,https://drive.google.com/file/d/1I5ETj9J7uhNTpS63f6KoZA1PWqKsGOlj/preview,2020_12 DCD09cz Buh je ochoten.mp3
Isté spasenie,https://drive.google.com/file/d/1fEYDbEBhtlpMP7hQwisJA5NOuUNbEG07/preview,2020_12 DCD09cz Jiste spaseni.mp3
Priateľ hriešnikov,https://drive.google.com/file/d/1yTHCR-cV5eoqv-76seZ2SICTx3ud3wOZ/preview,2020_12 DCD09cz Pritel hrisniku.mp3
Spravodlivé odpustenie,https://drive.google.com/file/d/1Hdvx0VhOv-d7_EwMsRDMvRJ59pwwNb7n/preview,2020_12 DCD09cz Spravedlive odpusteni.mp3
"Uctievanie, ktoré približuje",https://drive.google.com/file/d/1_z4eCcEfuzI6H5jHdo12AqBrw-EsGs4A/preview,2020_12 DCD09cz Uctivani ktere priblizuje.mp3
Štruktúra Božieho evanjelia I.,https://drive.google.com/file/d/1AmftdEdVzOEmY2RWiT1Q_LXKSFAccxXo/preview,2020_12 DCD11cz Struktura Boºího evangelia 1.mp3
Štruktúra Božieho evanjelia II.,https://drive.google.com/file/d/1aW_R9W5rBTrgxEkl5uy5qoHmsosS_qnM/preview,2020_12 DCD11cz Struktura Boºího evangelia 2.mp3
Štruktúra Božieho evanjelia III.,https://drive.google.com/file/d/1CTYpA8HRQBSsairdufBTr4KdC0lpIoHF/preview,2020_12 DCD11cz Struktura Boºího evangelia 3.mp3
Svedomie I.,https://drive.google.com/file/d/1MhkpTrlgcGcGw_rqOG2m1mKjT_tWshAz/preview,2020_12 DCD11cz Sv╪domí 1.mp3
Svedomie II.,https://drive.google.com/file/d/1iiFtn5SLMWFto56v6OpAx7RdsSvHdXg4/preview,2020_12 DCD11cz Sv╪domí 2.mp3
Svedomie III.,https://drive.google.com/file/d/1wgZpqCNxC1RMgS6Gg2IV2QBgyGmox0Ma/preview,2020_12 DCD11cz Sv╪domí 3.mp3
Svedomie IV.,https://drive.google.com/file/d/1pjdyid4rlMmGAW26flhgElqtard26XSB/preview,2020_12 DCD11cz Sv╪domí 4.mp3
Svedomie V.,https://drive.google.com/file/d/1miHaKMnQ1qMtHm3CIXyy_8Y63QU2drGa/preview,2020_12 DCD11cz Sv╪domí 5.mp3
Svedomie VI.,https://drive.google.com/file/d/1rY-AAR8z3_NDKqMG5y9VP1r6stCZCKMD/preview,2020_12 DCD11cz Sv╪domí 6.mp3
Trojnásobné semeno,https://drive.google.com/file/d/1ZenoZydTpzP8ffH5SuW6VJtWTymxKtXW/preview,2020_12 DCD09cz Trojnasobne semeno.mp3
Semeno ženy,https://drive.google.com/file/d/1vtBIeibe2WB0_kL3euLgRi1I_Y1T06Ki/preview,2020_12 DCD09cz Semeno zeny.mp3
Semeno Abrahámovo,,
Semeno Dávidovo,,
Učenie a spoločenstvo apoštolov,https://drive.google.com/file/d/1PGPWpsq-Glp8Cr2LVfZzPeQUlVjqW3J4/preview,2020_12 DCD09cz Uceni a spolecenstvi apostolu.mp3
Učenie apoštolov,https://drive.google.com/file/d/1nei78tfGZ8uju6g33vdQ0zTY8AaDnLoh/preview,2020_12 DCD09cz Uceni apostolu.mp3
Udeľovanie života I.,https://drive.google.com/file/d/1n2Dmdt0R9ki4PMQC9kO9Uodf1ZWwqGfi/preview,2020_12 DCD11cz Rozd�len� �ivota 1.mp3
Udeľovanie života II.,https://drive.google.com/file/d/1P9cqX5p5-fUwtKSOosKLElN6mELcfFXG/preview,2020_12 DCD11cz Rozd�len� �ivota 2.mp3
Udeľovanie života III.,https://drive.google.com/file/d/1X_hk_QaMml2u0z22YfyvuYc-skoz7l5r/preview,2020_12 DCD11cz Rozd�len� �ivota 3.mp3
Kristovo dielo,https://drive.google.com/file/d/1O1ZEHJSyGuV7dRCpBp8JXtow-xMBzR2u/preview,2020_12 DCD09cz Kristovo dilo.mp3
Pád človeka,https://drive.google.com/file/d/1ZFkFd3IMkrogjI80L5Cl43JfdIHuXwUq/preview,2020_12 DCD09cz Pad cloveka.mp3
Satanova vzbura,https://drive.google.com/file/d/1RuKZhX9k6NmCa1pi79ECsCARGWYhBozn/preview,2020_12 DCD09cz Satanova vzpoura.mp3
Vzoprite sa Satanovi I.,https://drive.google.com/file/d/1iT2WA8hciZFKMdVNRogGo7kIE9YHYjj1/preview,2020_12 DCD11cz Postavte se Satanovi.mp3
Vzoprite sa Satanovi II.,https://drive.google.com/file/d/1M0VkQdHzce4m9sT9ROGQbt2B54SfMABX/preview,2020_12 DCD11cz Postavte se Satanovi 2.mp3
Vzácna Kristova krv I.,https://drive.google.com/file/d/1jTh3j53RPWg-emi5DnWobno7Ws0EWkzT/preview,2020_12 DCD09cz Kristova krev_1.mp3
Vzácna Kristova krv II.,https://drive.google.com/file/d/1YJrIgCqWnSOGutCKgxdggdLS1YKtzkQi/preview,2020_12 DCD09cz Kristova krev_2.mp3
"Istota, bezpečnosť a radosť zo spásy",https://drive.google.com/file/d/1LcygM0qZMdjvmK0D9y4FgmR9TnLF8SAQ/preview,2020_12 DCD09cz Jistota spaseni.mp3
Život pre obraz a vládu,https://drive.google.com/file/d/13QtJyZE1lSk_96sHTlJqEjdm80r5H8g-/preview,2020_12 DCD09cz Zivot pro obraz a vladu.mp3
"Strom, rieka a vzácne materiály",https://drive.google.com/file/d/1njNsn2xgRGGTvLGgTYfWhqDsWwKtdTBl/preview,2020_12 DCD12cz Strom reka a vzacne materialy.mp3
Ako vzniká nevesta,https://drive.google.com/file/d/1Jhi1FcTxr-xIR2Y4jYsjjm2cd4uDaFbX/preview,2020_12 DCD12cz Jak vznika nevesta.mp3
